"yearid","teamid","wswin","attendance","games","avg_attendance_per_game"
2000,"ANA","N",2066982,81,"25518"
2001,"ANA","N",1998319,81,"24671"
2002,"ANA","Y",2305467,81,"28463"
2003,"ANA","N",3061094,82,"37330"
2004,"ANA","N",3375677,81,"41675"
2000,"ARI","N",2942251,81,"36324"
2001,"ARI","Y",2735821,81,"33776"
2002,"ARI","N",3198975,81,"39494"
2003,"ARI","N",2805542,81,"34636"
2004,"ARI","N",2519560,81,"31106"
2005,"ARI","N",2059331,81,"25424"
2006,"ARI","N",2091005,81,"25815"
2007,"ARI","N",2316507,81,"28599"
2008,"ARI","N",2509924,81,"30987"
2009,"ARI","N",2129183,81,"26286"
2010,"ARI","N",2057224,81,"25398"
2011,"ARI","N",2105432,81,"25993"
2012,"ARI","N",2177617,81,"26884"
2013,"ARI","N",2134895,81,"26357"
2014,"ARI","N",1997385,79,"25283"
2014,"ARI","N",76345,2,"38173"
2015,"ARI","N",2080145,81,"25681"
2016,"ARI","N",2036216,81,"25138"
2000,"ATL","N",3234304,81,"39930"
2001,"ATL","N",2823494,81,"34858"
2002,"ATL","N",2603484,81,"32142"
2003,"ATL","N",2401084,81,"29643"
2004,"ATL","N",2322565,81,"28674"
2005,"ATL","N",2521534,81,"31130"
2006,"ATL","N",2549524,81,"31476"
2007,"ATL","N",2745303,81,"33893"
2008,"ATL","N",2532834,81,"31270"
2009,"ATL","N",2373631,81,"29304"
2010,"ATL","N",2510121,81,"30989"
2011,"ATL","N",2372940,81,"29296"
2012,"ATL","N",2420171,81,"29879"
2013,"ATL","N",2548679,81,"31465"
2014,"ATL","N",2354305,81,"29065"
2015,"ATL","N",2001392,81,"24709"
2016,"ATL","N",2008332,80,"25104"
2016,"ATL","N",12582,1,"12582"
2000,"BAL","N",3297031,81,"40704"
2001,"BAL","N",3094841,80,"38686"
2002,"BAL","N",2681439,81,"33104"
2003,"BAL","N",2454523,81,"30303"
2004,"BAL","N",2744013,81,"33877"
2005,"BAL","N",2624804,81,"32405"
2006,"BAL","N",2153150,81,"26582"
2007,"BAL","N",2172487,81,"26821"
2008,"BAL","N",1950075,80,"24376"
2009,"BAL","N",1907163,81,"23545"
2010,"BAL","N",1733019,81,"21395"
2011,"BAL","N",1755461,81,"21672"
2012,"BAL","N",2102240,81,"25954"
2013,"BAL","N",2357561,81,"29106"
2014,"BAL","N",2464473,81,"30426"
2015,"BAL","N",39386,3,"13129"
2015,"BAL","N",2281202,78,"29246"
2016,"BAL","N",2172344,81,"26819"
2000,"BOS","N",2585895,81,"31925"
2001,"BOS","N",2625333,81,"32412"
2002,"BOS","N",2650859,81,"32727"
2003,"BOS","N",2724165,81,"33632"
2004,"BOS","Y",2837304,81,"35028"
2005,"BOS","N",2847798,81,"35158"
2006,"BOS","N",2930768,81,"36182"
2007,"BOS","Y",2970755,81,"36676"
2008,"BOS","N",3048250,81,"37633"
2009,"BOS","N",3062699,81,"37811"
2010,"BOS","N",3046445,81,"37610"
2011,"BOS","N",3054001,81,"37704"
2012,"BOS","N",3043003,81,"37568"
2013,"BOS","Y",2833333,81,"34979"
2014,"BOS","N",2956089,81,"36495"
2015,"BOS","N",2880694,81,"35564"
2016,"BOS","N",2955434,81,"36487"
2000,"CHA","N",1971446,81,"24339"
2001,"CHA","N",1766172,81,"21805"
2002,"CHA","N",1675591,81,"20686"
2003,"CHA","N",1939594,81,"23946"
2004,"CHA","N",1930537,81,"23834"
2005,"CHA","Y",2342834,81,"28924"
2006,"CHA","N",2957414,81,"36511"
2007,"CHA","N",2684395,81,"33141"
2008,"CHA","N",2501103,82,"30501"
2009,"CHA","N",2284163,81,"28200"
2010,"CHA","N",2194378,81,"27091"
2011,"CHA","N",2001117,81,"24705"
2012,"CHA","N",1965955,81,"24271"
2013,"CHA","N",1768413,81,"21832"
2014,"CHA","N",1650821,81,"20381"
2015,"CHA","N",1755810,81,"21677"
2016,"CHA","N",1746293,81,"21559"
2000,"CHN","N",2734511,80,"34181"
2000,"CHN","N",55000,1,"55000"
2001,"CHN","N",2779465,81,"34314"
2002,"CHN","N",2694946,81,"33271"
2003,"CHN","N",2962630,81,"36576"
2004,"CHN","N",3170154,82,"38660"
2005,"CHN","N",3100092,81,"38273"
2006,"CHN","N",3123215,81,"38558"
2007,"CHN","N",3252462,81,"40154"
2008,"CHN","N",3299840,81,"40739"
2009,"CHN","N",3168859,80,"39611"
2010,"CHN","N",3062973,81,"37814"
2011,"CHN","N",3017966,81,"37259"
2012,"CHN","N",2882756,81,"35590"
2013,"CHN","N",2642682,81,"32626"
2014,"CHN","N",2652113,81,"32742"
2015,"CHN","N",2919122,81,"36039"
2016,"CHN","Y",3232420,81,"39906"
2000,"CIN","N",2594132,82,"31636"
2001,"CIN","N",1879757,81,"23207"
2002,"CIN","N",1855775,81,"22911"
2003,"CIN","N",2355259,81,"29077"
2004,"CIN","N",2287250,81,"28238"
2005,"CIN","N",1943166,82,"23697"
2006,"CIN","N",2134472,81,"26352"
2007,"CIN","N",2058593,81,"25415"
2008,"CIN","N",2058632,81,"25415"
2009,"CIN","N",1747919,81,"21579"
2010,"CIN","N",2060550,81,"25439"
2011,"CIN","N",2213588,81,"27328"
2012,"CIN","N",2347251,81,"28978"
2013,"CIN","N",42310,1,"42310"
2013,"CIN","N",2492101,80,"31151"
2014,"CIN","N",2476664,81,"30576"
2015,"CIN","N",2419506,81,"29870"
2016,"CIN","N",1894085,81,"23384"
2000,"CLE","N",3456278,81,"42670"
2001,"CLE","N",3182523,80,"39782"
2002,"CLE","N",2621940,81,"32370"
2003,"CLE","N",1727001,81,"21321"
2004,"CLE","N",1814401,81,"22400"
2005,"CLE","N",2014220,81,"24867"
2006,"CLE","N",1998070,81,"24668"
2007,"CLE","N",2223415,77,"28876"
2007,"CLE","N",52496,3,"17499"
2008,"CLE","N",2169760,81,"26787"
2009,"CLE","N",1766242,81,"21805"
2010,"CLE","N",1391644,81,"17181"
2011,"CLE","N",1840835,81,"22726"
2012,"CLE","N",1603596,81,"19797"
2013,"CLE","N",1572926,81,"19419"
2014,"CLE","N",1437393,81,"17746"
2015,"CLE","N",1388905,80,"17361"
2016,"CLE","N",1591667,81,"19650"
2000,"COL","N",3295129,81,"40681"
2001,"COL","N",3168579,81,"39118"
2002,"COL","N",2740614,81,"33835"
2003,"COL","N",2334175,81,"28817"
2004,"COL","N",2338069,81,"28865"
2005,"COL","N",1914389,81,"23634"
2006,"COL","N",2104560,81,"25982"
2007,"COL","N",2376250,82,"28979"
2008,"COL","N",2650218,81,"32719"
2009,"COL","N",2665080,81,"32902"
2010,"COL","N",2875245,81,"35497"
2011,"COL","N",2909777,81,"35923"
2012,"COL","N",2630458,81,"32475"
2013,"COL","N",2793828,81,"34492"
2014,"COL","N",2680329,81,"33090"
2015,"COL","N",2506789,81,"30948"
2016,"COL","N",2602524,81,"32130"
2000,"DET","N",2533753,81,"31281"
2001,"DET","N",1920995,81,"23716"
2002,"DET","N",1503353,80,"18792"
2003,"DET","N",1368245,81,"16892"
2004,"DET","N",1917004,81,"23667"
2005,"DET","N",2024505,81,"24994"
2006,"DET","N",2595937,81,"32049"
2007,"DET","N",3047124,81,"37619"
2008,"DET","N",3202654,81,"39539"
2009,"DET","N",2567192,81,"31694"
2010,"DET","N",2461237,81,"30386"
2011,"DET","N",2642045,81,"32618"
2012,"DET","N",3028033,81,"37383"
2013,"DET","N",3083397,81,"38067"
2014,"DET","N",2917209,81,"36015"
2015,"DET","N",2726048,81,"33655"
2016,"DET","N",2493859,80,"31173"
2000,"FLO","N",1218326,81,"15041"
2001,"FLO","N",1261216,80,"15765"
2002,"FLO","N",813127,81,"10039"
2003,"FLO","Y",1303214,81,"16089"
